id,time,bpm
1,37:53.2,57
2,37:54.5,55
3,37:59.3,48
4,38:00.0,50
5,38:03.2,225
6,38:05.2,137
7,38:07.1,101
8,38:08.3,86
9,38:09.1,80
10,38:10.9,67
11,38:12.0,61
12,38:12.7,58
13,38:13.2,57
14,38:13.5,57
15,38:13.8,56
16,38:14.2,67
17,38:14.5,81
18,38:14.8,93
19,38:15.0,101
20,38:15.3,136
21,38:15.6,169
22,38:15.8,192
23,38:16.1,209
24,38:16.3,214
25,38:19.3,238
26,38:19.6,238
27,38:19.9,238
28,38:20.1,238
29,38:20.4,236
30,38:20.6,236
31,38:20.9,236
32,38:21.1,236
33,38:21.4,236
34,38:21.6,236
35,38:21.9,236
36,38:22.2,236
37,38:22.4,236
38,38:22.6,236
39,38:22.9,238
40,38:23.4,219
41,38:23.6,218
42,38:23.9,215
43,38:24.2,215
44,38:24.4,215
45,38:24.7,215
46,38:25.0,212
47,38:25.2,212
48,38:35.4,56
49,38:36.6,55
50,38:37.4,56
51,38:37.9,59
52,38:38.2,64
53,38:38.8,68
54,38:39.2,74
55,38:39.4,82
56,38:45.5,185
57,38:46.0,173
58,38:46.4,169
59,38:46.7,172
60,38:46.9,175
61,38:47.3,172
62,38:47.6,176
63,38:48.0,169
64,38:48.5,164
65,38:48.7,168
66,38:49.5,147
67,38:50.2,141
68,38:50.7,141
69,38:51.2,131
70,38:51.6,129
71,38:51.8,133
72,38:52.1,133
73,38:52.3,140
74,38:52.7,141
75,38:53.0,140
76,38:53.2,161
77,38:53.8,167
78,38:54.2,171
79,38:54.8,167
80,38:55.2,165
81,38:55.6,157
82,38:55.9,156
83,38:56.4,149
84,38:56.6,154
85,38:56.9,153
86,38:57.2,153
87,38:57.6,159
88,38:57.9,160
89,38:58.3,174
90,38:58.5,181
91,38:58.8,192
92,38:59.0,192
93,38:59.3,202
94,38:59.6,198
95,39:00.0,197
96,39:00.2,197
97,39:00.5,211
98,39:00.7,216
99,39:01.0,223
100,39:01.2,223
101,39:01.5,223
102,39:01.7,225
103,39:02.0,228
104,39:02.2,235
105,39:02.5,238
106,39:02.7,238
107,39:03.3,212
108,39:03.6,206
109,39:03.9,206
110,39:04.1,206
111,39:04.4,206
112,39:04.6,206
113,39:04.9,206
114,39:05.1,206
115,39:05.4,206
116,39:05.6,206
117,39:05.9,230
118,39:06.1,238
119,39:06.5,224
120,39:06.8,223
121,39:07.0,223
122,39:07.3,223
123,39:07.6,223
124,39:07.8,223
125,39:08.1,223
126,39:08.3,223
127,39:08.6,223
128,39:08.8,223
129,39:09.1,238
130,39:09.3,238
131,39:09.6,237
132,39:09.8,237
133,39:10.1,237
134,39:10.3,237
135,39:10.6,237
136,39:10.9,237
137,39:11.1,237
138,39:11.4,237
139,39:11.6,237
140,39:11.9,237
141,39:12.1,238
142,39:12.4,238
143,39:12.6,238
144,39:12.9,238
145,39:13.1,238
146,39:13.4,238
147,39:13.7,235
148,39:17.4,112
149,39:19.8,84
150,39:21.7,70
151,39:22.9,65
152,39:23.6,64
